ID,Met_topic,Met_vehicle,Eng_item,Metaphor,Simile,Lit_topic/vehicle,LengthTopic,Eng_conventionality,Eng_aptness,Eng_aptness_label,LengthVehicle,FrequencyTopic,FrequencyVehicle,ConcretenessTopic,ConcretenessVehicle,Familiarity,Difficulty,Imageability,Metaphoricity,SemanticDistance,N_interpretations,Strength,resources,Simile_come_cloze_surprisal__sapienzanlp_Minerva_1B_base_v1_0,Metaphor_log_likelihood_norm__sapienzanlp_Minerva_350M_base_v1_0,Simile_log_likelihood_norm__sapienzanlp_Minerva_350M_base_v1_0,Simile_come_cloze_surprisal__sapienzanlp_Minerva_350M_base_v1_0,source_llm__sapienzanlp_Minerva_350M_base_v1_0,Metaphor_log_likelihood_norm__sapienzanlp_Minerva_3B_base_v1_0,Simile_log_likelihood_norm__sapienzanlp_Minerva_3B_base_v1_0,Simile_come_cloze_surprisal__sapienzanlp_Minerva_3B_base_v1_0,source_llm__sapienzanlp_Minerva_3B_base_v1_0,Diff_Log_Likelihood_Minerva_350M_base_v1_0,Diff_Log_Likelihood_Minerva_3B_base_v1_0,Metaphor_log_likelihood_norm__sapienzanlp_Minerva_1B_base_v1_0,Simile_log_likelihood_norm__sapienzanlp_Minerva_1B_base_v1_0,Diff_Log_Likelihood_Minerva_1B_base_v1_0,Unnamed: 38,Unnamed: 39,Metaphor_log_likelihood_norm__sapienzanlp_Minerva_7B_base_v1_0,Simile_log_likelihood_norm__sapienzanlp_Minerva_7B_base_v1_0,Simile_come_cloze_surprisal__sapienzanlp_Minerva_7B_base_v1_0,Diff_Log_Likelihood_Minerva_7B_base_v1_0
154,albero,ombrello,A tree is an umbrella.,Un albero è un ombrello.,Un albero è come un ombrello.,,,4.61,4.21,High,,,,,,,,,,,,,Jones and Estes (2006),6.53125,-4.303571429,-3.734375,6.625,sapienzanlp/Minerva-350M-base-v1.0,-4.75,-4.25,7.375,sapienzanlp/Minerva-3B-base-v1.0,-0.569196429,-0.5,-4.428571429,-3.953125,-0.475446429,,,-4.495535714285714,-3.66015625,6.8203125,-0.8353794642857144
155,rivista,ombrello,A magazine is an umbrella.,Una rivista è un ombrello.,Una rivista è come un ombrello.,,,4.61,2.15,Low,,,,,,,,,,,,,Jones and Estes (2006),7.3125,-4.964285714,-4.3125,6.625,sapienzanlp/Minerva-350M-base-v1.0,-4.785714286,-4.09375,7.3125,sapienzanlp/Minerva-3B-base-v1.0,-0.651785714,-0.691964286,-4.964285714,-4.15625,-0.808035714,,,-5.107142857142857,-4.05859375,7.4609375,-1.0485491071428568
156,amore,fiore,Love is a flower.,L'amore è un fiore.,L'amore è come un fiore.,,,4.64,5.34,High,,,,,,,,,,,,,Jones and Estes (2006),6.6875,-3.303571429,-2.703125,6.375,sapienzanlp/Minerva-350M-base-v1.0,-3.196428571,-2.828125,6.875,sapienzanlp/Minerva-3B-base-v1.0,-0.600446429,-0.368303571,-3.160714286,-2.84375,-0.316964286,,,-3.314732142857143,-2.876953125,7.6328125,-0.4377790178571428
157,odio,fiore,Hatred is a flower.,L'odio è un fiore.,L'odio è come un fiore.,,,4.64,1.85,Low,,,,,,,,,,,,,Jones and Estes (2006),7.25,-4.178571429,-3.484375,7.125,sapienzanlp/Minerva-350M-base-v1.0,-3.982142857,-3.671875,6.96875,sapienzanlp/Minerva-3B-base-v1.0,-0.694196429,-0.310267857,-3.946428571,-3.609375,-0.337053571,,,-4.537946428571429,-3.796875,7.72265625,-0.7410714285714288
158,voci,sirene,Some voices are sirens.,Alcune voci sono sirene.,Alcune voci sono come sirene.,,,4.64,5.0,High,,,,,,,,,,,,,Jones and Estes (2006),6.6875,-6.083333333,-5.428571429,6.625,sapienzanlp/Minerva-350M-base-v1.0,-5.708333333,-5.0,6.3125,sapienzanlp/Minerva-3B-base-v1.0,-0.654761905,-0.708333333,-6.166666667,-5.571428571,-0.595238095,,,-5.510416666666667,-4.71875,6.50390625,-0.791666666666667
159,russamenti,sirene,Some snores are sirens.,Alcuni russamenti sono sirene.,Alcuni russamenti sono come sirene.,,,4.64,3.76,Low,,,,,,,,,,,,,Jones and Estes (2006),6.34375,-5.84375,-5.25,6.5625,sapienzanlp/Minerva-350M-base-v1.0,-5.96875,-5.166666667,6.46875,sapienzanlp/Minerva-3B-base-v1.0,-0.59375,-0.802083333,-6.0625,-5.055555556,-1.006944444,,,-6.22265625,-5.746527777777778,7.25390625,-0.4761284722222223
160,receptionist,boccata d'aria fresca,That receptionist is a breath of fresh air.,Quella receptionist è una boccata d'aria fresca.,Quella receptionist è come una boccata d'aria fresca.,,,4.7,4.52,High,,,,,,,,,,,,,Jones and Estes (2006),6.625,-3.604166667,-3.326923077,6.6875,sapienzanlp/Minerva-350M-base-v1.0,-3.479166667,-3.346153846,7.09375,sapienzanlp/Minerva-3B-base-v1.0,-0.27724359,-0.133012821,-3.75,-3.634615385,-0.115384615,,,-3.7526041666666665,-3.713942307692308,7.56640625,-0.03866185897435859
161,contabile,boccata d'aria fresca,That accountant is a breath of fresh air.,Quel contabile è una boccata d'aria fresca.,Quel contabile è come una boccata d'aria fresca.,,,4.7,3.38,Low,,,,,,,,,,,,,Jones and Estes (2006),6.65625,-3.6875,-3.596153846,6.6875,sapienzanlp/Minerva-350M-base-v1.0,-3.625,-3.596153846,7.0,sapienzanlp/Minerva-3B-base-v1.0,-0.091346154,-0.028846154,-3.625,-3.538461538,-0.086538462,,,-4.46875,-4.4140625,7.28125,-0.0546875
162,migliore amico,ancora,A best friend is an anchor.,Un migliore amico è un'ancora.,Un migliore amico è come un'ancora.,,,4.79,6.07,High,,,,,,,,,,,,,Jones and Estes (2006),6.5,-4.166666667,-3.825,5.3125,sapienzanlp/Minerva-350M-base-v1.0,-3.722222222,-3.25,6.625,sapienzanlp/Minerva-3B-base-v1.0,-0.341666667,-0.472222222,-4.055555556,-3.65,-0.405555556,,,-5.203125,-4.482638888888889,6.71484375,-0.7204861111111107
163,avversario,ancora,An opponent is an anchor.,Un avversario è un'ancora.,Un avversario è come un'ancora.,,,4.79,2.94,Low,,,,,,,,,,,,,Jones and Estes (2006),6.90625,-4.4375,-4.138888889,6.09375,sapienzanlp/Minerva-350M-base-v1.0,-4.4375,-4.194444444,7.59375,sapienzanlp/Minerva-3B-base-v1.0,-0.298611111,-0.243055556,-4.4375,-4.083333333,-0.354166667,,,-5.866071428571429,-5.2421875,7.13671875,-0.6238839285714288
164,matrimonio,guinzaglio corto,His marriage was a short leash.,Il suo matrimonio era un guinzaglio corto.,Il suo matrimonio era come un guinzaglio corto.,,,4.79,4.0,High,,,,,,,,,,,,,Jones and Estes (2006),6.25,-5.075,-4.727272727,6.375,sapienzanlp/Minerva-350M-base-v1.0,-4.275,-3.977272727,7.375,sapienzanlp/Minerva-3B-base-v1.0,-0.347727273,-0.297727273,-4.35,-4.386363636,0.036363636,,,-4.125,-3.914772727272727,8.171875,-0.21022727272727293
165,ufficio,guinzaglio corto,His office was a short leash.,Il suo ufficio era un guinzaglio corto.,Il suo ufficio era come un guinzaglio corto.,,,4.79,2.52,Low,,,,,,,,,,,,,Jones and Estes (2006),6.125,-4.725,-4.590909091,6.625,sapienzanlp/Minerva-350M-base-v1.0,-4.375,-4.181818182,7.28125,sapienzanlp/Minerva-3B-base-v1.0,-0.134090909,-0.193181818,-4.7,-4.522727273,-0.177272727,,,-4.7875,-4.392045454545454,7.80859375,-0.3954545454545455
166,folla esultante,tuono,The cheering crowd was thunder.,La folla esultante era un tuono.,La folla esultante era come un tuono.,,,4.79,5.39,High,,,,,,,,,,,,,Jones and Estes (2006),6.59375,-4.375,-3.931818182,7.21875,sapienzanlp/Minerva-350M-base-v1.0,-4.1,-3.772727273,7.46875,sapienzanlp/Minerva-3B-base-v1.0,-0.443181818,-0.327272727,-4.55,-3.954545455,-0.595454545,,,-4.2875,-3.747159090909091,6.765625,-0.5403409090909088
167,giocatore di basket,tuono,The basketball player was thunder.,Il giocatore di basket era un tuono.,Il giocatore di basket era come un tuono.,,,4.79,2.76,Low,,,,,,,,,,,,,Jones and Estes (2006),6.4375,-4.972222222,-4.5,6.8125,sapienzanlp/Minerva-350M-base-v1.0,-4.583333333,-4.525,6.875,sapienzanlp/Minerva-3B-base-v1.0,-0.472222222,-0.058333333,-5.111111111,-4.45,-0.661111111,,,-4.600694444444445,-4.328125,7.515625,-0.27256944444444464
168,Grandi Pianure,tavoliere,The Great Plains are a board.,Le Grandi Pianure sono un tavoliere.,Le Grandi Pianure sono come un tavoliere.,,,4.82,2.76,High,,,,,,,,,,,,,Jones and Estes (2006),7.875,-5.444444444,-4.8,7.3125,sapienzanlp/Minerva-350M-base-v1.0,-4.444444444,-4.55,8.5,sapienzanlp/Minerva-3B-base-v1.0,-0.644444444,0.105555556,-5.055555556,-4.825,-0.230555556,,,-4.913194444444445,-4.425,9.484375,-0.4881944444444448
169,spiagge costiere,tavoliere,The coastal beaches are a board.,Le spiagge costiere sono un tavoliere.,Le spiagge costiere sono come un tavoliere.,,,4.82,1.9,Low,,,,,,,,,,,,,Jones and Estes (2006),7.5625,-5.472222222,-4.725,7.6875,sapienzanlp/Minerva-350M-base-v1.0,-5.055555556,-4.725,7.6875,sapienzanlp/Minerva-3B-base-v1.0,-0.747222222,-0.330555556,-5.333333333,-4.975,-0.358333333,,,-5.385416666666667,-4.946875,8.921875,-0.4385416666666666
170,laurea,porta d'accesso,A college degree is a doorway.,Una laurea è una porta d'accesso.,Una laurea è come una porta d'accesso.,,,4.94,6.07,High,,,,,,,,,,,,,Jones and Estes (2006),6.625,-4.055555556,-3.65,6.65625,sapienzanlp/Minerva-350M-base-v1.0,-4.305555556,-4.1,7.4375,sapienzanlp/Minerva-3B-base-v1.0,-0.405555556,-0.205555556,-3.833333333,-3.725,-0.108333333,,,-3.7291666666666665,-3.6125,7.25,-0.1166666666666667
171,completamento di un corso,porta d'accesso,A course completion is a doorway.,Il completamento di un corso è una porta d'accesso.,Il completamento di un corso è come una porta d'accesso.,,,4.94,4.24,Low,,,,,,,,,,,,,Jones and Estes (2006),6.8125,-3.729166667,-3.692307692,6.78125,sapienzanlp/Minerva-350M-base-v1.0,-3.5625,-3.615384615,7.34375,sapienzanlp/Minerva-3B-base-v1.0,-0.036858974,0.052884615,-3.770833333,-3.576923077,-0.193910256,,,-3.6875,-3.651442307692308,8.2265625,-0.03605769230769207
172,sorrisi,magneti,Some smiles are magnets.,Alcuni sorrisi sono magneti.,Alcuni sorrisi sono come magneti.,,,4.94,5.39,High,,,,,,,,,,,,,Jones and Estes (2006),6.90625,-5.321428571,-4.90625,6.4375,sapienzanlp/Minerva-350M-base-v1.0,-5.821428571,-4.84375,6.625,sapienzanlp/Minerva-3B-base-v1.0,-0.415178571,-0.977678571,-5.928571429,-5.0,-0.928571429,,,-5.441964285714286,-4.69921875,6.671875,-0.7427455357142856
173,lacrime,magneti,Some tears are magnets.,Alcune lacrime sono magneti.,Alcune lacrime sono come magneti.,,,4.94,3.0,Low,,,,,,,,,,,,,Jones and Estes (2006),6.59375,-7.125,-6.035714286,6.625,sapienzanlp/Minerva-350M-base-v1.0,-6.791666667,-5.5,6.6875,sapienzanlp/Minerva-3B-base-v1.0,-1.089285714,-1.291666667,-7.208333333,-5.857142857,-1.351190476,,,-7.0,-5.691964285714286,6.4921875,-1.3080357142857144
174,giovane cugino,gamberetto,My young cousin is a shrimp.,Il mio giovane cugino è un gamberetto.,Il mio giovane cugino è come un gamberetto.,,,5.03,4.85,High,,,,,,,,,,,,,Jones and Estes (2006),5.875,-3.977272727,-3.729166667,6.4375,sapienzanlp/Minerva-350M-base-v1.0,-3.977272727,-3.791666667,6.75,sapienzanlp/Minerva-3B-base-v1.0,-0.248106061,-0.185606061,-3.886363636,-3.979166667,0.09280303,,,-3.78125,-3.7161458333333335,7.03515625,-0.06510416666666652
175,padre,gamberetto,My father is a shrimp.,Mio padre è un gamberetto.,Mio padre è come un gamberetto.,,,5.03,3.52,Low,,,,,,,,,,,,,Jones and Estes (2006),6.5625,-3.984375,-3.611111111,6.3125,sapienzanlp/Minerva-350M-base-v1.0,-3.671875,-3.805555556,6.9375,sapienzanlp/Minerva-3B-base-v1.0,-0.373263889,0.133680556,-4.0,-4.083333333,0.083333333,,,-3.830078125,-4.395833333333333,7.91015625,0.565755208333333
176,maggiordomi,asini,Butlers can be donkeys.,I maggiordomi sono asini.,I maggiordomi sono come asini.,,,5.06,2.64,High,,,,,,,,,,,,,Jones and Estes (2006),6.84375,-4.5,-4.333333333,6.53125,sapienzanlp/Minerva-350M-base-v1.0,-4.40625,-4.222222222,7.375,sapienzanlp/Minerva-3B-base-v1.0,-0.166666667,-0.184027778,-4.125,-4.111111111,-0.013888889,,,-4.40234375,-4.388888888888889,6.94140625,-0.013454861111110716
177,nonni,asini,Grandparents can be donkeys.,I nonni sono asini.,I nonni sono come asini.,,,5.06,1.79,Low,,,,,,,,,,,,,Jones and Estes (2006),6.5625,-5.0,-4.303571429,5.84375,sapienzanlp/Minerva-350M-base-v1.0,-5.104166667,-4.482142857,7.5,sapienzanlp/Minerva-3B-base-v1.0,-0.696428571,-0.62202381,-4.8125,-4.428571429,-0.383928571,,,-5.510416666666667,-4.875,7.40234375,-0.635416666666667
178,modelle,ramoscelli,Some fashion models are twigs.,Alcune modelle sono ramoscelli.,Alcune modelle sono come ramoscelli.,,,5.06,6.15,High,,,,,,,,,,,,,Jones and Estes (2006),6.9375,-6.4375,-5.333333333,6.8125,sapienzanlp/Minerva-350M-base-v1.0,-5.34375,-4.805555556,7.0625,sapienzanlp/Minerva-3B-base-v1.0,-1.104166667,-0.538194444,-5.375,-5.055555556,-0.319444444,,,-5.2890625,-4.784722222222222,6.55859375,-0.5043402777777777
179,nuotatori,ramoscelli,Some swimmers are twigs.,Alcuni nuotatori sono ramoscelli.,Alcuni nuotatori sono come ramoscelli.,,,5.06,3.24,Low,,,,,,,,,,,,,Jones and Estes (2006),7.59375,-5.361111111,-5.0,7.15625,sapienzanlp/Minerva-350M-base-v1.0,-4.777777778,-4.225,7.75,sapienzanlp/Minerva-3B-base-v1.0,-0.361111111,-0.552777778,-5.138888889,-4.775,-0.363888889,,,-4.805555555555555,-4.459375,6.8359375,-0.3461805555555557
180,amore,viaggio,Love is a journey.,L'amore è un viaggio.,L'amore è come un viaggio.,,,5.09,6.48,High,,,,,,,,,,,,,Jones and Estes (2006),6.84375,-2.946428571,-2.90625,6.34375,sapienzanlp/Minerva-350M-base-v1.0,-3.142857143,-2.984375,7.125,sapienzanlp/Minerva-3B-base-v1.0,-0.040178571,-0.158482143,-2.910714286,-2.8125,-0.098214286,,,-3.2879464285714284,-3.298828125,7.1328125,0.010881696428571619
181,sogno,viaggio,A dream is a journey.,Un sogno è un viaggio.,Un sogno è come un viaggio.,,,5.09,5.69,Low,,,,,,,,,,,,,Jones and Estes (2006),7.1875,-4.229166667,-3.910714286,6.0,sapienzanlp/Minerva-350M-base-v1.0,-4.083333333,-3.625,7.5,sapienzanlp/Minerva-3B-base-v1.0,-0.318452381,-0.458333333,-4.208333333,-4.375,0.166666667,,,-4.473958333333333,-3.6986607142857135,7.3125,-0.7752976190476195
182,donna incinta,anatra,That pregnant woman is a duck.,Quella donna incinta è un'anatra.,Quella donna incinta è come un'anatra.,,,5.21,2.82,High,,,,,,,,,,,,,Jones and Estes (2006),6.71875,-4.361111111,-4.25,6.3125,sapienzanlp/Minerva-350M-base-v1.0,-4.222222222,-4.25,7.15625,sapienzanlp/Minerva-3B-base-v1.0,-0.111111111,0.027777778,-4.194444444,-4.125,-0.069444444,,,-4.5,-4.5125,8.0390625,0.012500000000000178
183,professore,anatra,That professor is a duck.,Quel professore è un'anatra.,Quel professore è come un'anatra.,,,5.21,2.0,Low,,,,,,,,,,,,,Jones and Estes (2006),6.5625,-4.5625,-4.361111111,6.8125,sapienzanlp/Minerva-350M-base-v1.0,-4.90625,-4.611111111,7.21875,sapienzanlp/Minerva-3B-base-v1.0,-0.201388889,-0.295138889,-4.625,-4.444444444,-0.180555556,,,-4.6953125,-4.517361111111111,7.80859375,-0.17795138888888928
184,cani,principesse,Some dogs are princesses.,Alcuni cani sono principesse.,Alcuni cani sono come principesse.,,,5.27,4.33,High,,,,,,,,,,,,,Jones and Estes (2006),7.09375,-5.791666667,-5.285714286,6.5625,sapienzanlp/Minerva-350M-base-v1.0,-5.916666667,-5.035714286,7.6875,sapienzanlp/Minerva-3B-base-v1.0,-0.505952381,-0.880952381,-5.666666667,-5.071428571,-0.595238095,,,-5.572916666666667,-5.035714285714286,6.60546875,-0.5372023809523814
185,criceti,principesse,Some hamsters are princesses.,Alcuni criceti sono principesse.,Alcuni criceti sono come principesse.,,,5.27,1.97,Low,,,,,,,,,,,,,Jones and Estes (2006),6.5,-4.78125,-4.527777778,6.625,sapienzanlp/Minerva-350M-base-v1.0,-4.9375,-4.583333333,6.78125,sapienzanlp/Minerva-3B-base-v1.0,-0.253472222,-0.354166667,-5.0,-4.722222222,-0.277777778,,,-4.9375,-4.729166666666667,6.5390625,-0.20833333333333304
186,pelo del gatto,seta,My cat's fur is silk.,Il pelo del mio gatto è seta.,Il pelo del mio gatto è come seta.,,,5.3,4.88,High,,,,,,,,,,,,,Jones and Estes (2006),6.25,-4.083333333,-4.15,6.96875,sapienzanlp/Minerva-350M-base-v1.0,-4.333333333,-3.45,7.25,sapienzanlp/Minerva-3B-base-v1.0,0.066666667,-0.883333333,-4.444444444,-4.025,-0.419444444,,,-4.54296875,-3.670138888888889,8.4765625,-0.8728298611111112
187,pelo del topo,seta,My rat's fur is silk.,Il pelo del mio topo è seta.,Il pelo del mio topo è come seta.,,,5.3,2.76,Low,,,,,,,,,,,,,Jones and Estes (2006),6.0,-4.025,-4.045454545,7.0625,sapienzanlp/Minerva-350M-base-v1.0,-4.45,-3.795454545,7.46875,sapienzanlp/Minerva-3B-base-v1.0,0.020454545,-0.654545455,-4.55,-4.159090909,-0.390909091,,,-4.857638888888889,-4.196875,7.7109375,-0.6607638888888889
188,libri,scrigni del tesoro,Books are treasure chests.,I libri sono scrigni del tesoro.,I libri sono come scrigni del tesoro.,,,5.3,5.66,High,,,,,,,,,,,,,Jones and Estes (2006),7.15625,-3.722222222,-3.55,6.03125,sapienzanlp/Minerva-350M-base-v1.0,-3.555555556,-2.8875,6.9375,sapienzanlp/Minerva-3B-base-v1.0,-0.172222222,-0.668055556,-4.083333333,-3.95,-0.133333333,,,-3.55078125,-3.388888888888889,6.46484375,-0.16189236111111116
189,tabloid,scrigni del tesoro,Tabloids are treasure chests.,I tabloid sono scrigni del tesoro.,I tabloid sono come scrigni del tesoro.,,,5.3,2.67,Low,,,,,,,,,,,,,Jones and Estes (2006),7.375,-4.022727273,-3.520833333,6.625,sapienzanlp/Minerva-350M-base-v1.0,-3.977272727,-3.4375,7.6875,sapienzanlp/Minerva-3B-base-v1.0,-0.501893939,-0.539772727,-4.340909091,-3.791666667,-0.549242424,,,-4.357638888888889,-4.0875,6.984375,-0.27013888888888893
190,corridori,ghepardi,Some runners are cheetahs.,Alcuni corridori sono ghepardi.,Alcuni corridori sono come ghepardi.,,,5.45,5.64,High,,,,,,,,,,,,,Jones and Estes (2006),7.0625,-4.222222222,-4.0,7.125,sapienzanlp/Minerva-350M-base-v1.0,-4.5,-4.0,7.1875,sapienzanlp/Minerva-3B-base-v1.0,-0.222222222,-0.5,-4.722222222,-4.25,-0.472222222,,,-4.090277777777778,-3.828125,6.640625,-0.2621527777777777
191,pattinatori,ghepardi,Some skaters are cheetahs.,Alcuni pattinatori sono ghepardi.,Alcuni pattinatori sono come ghepardi.,,,5.45,2.62,Low,,,,,,,,,,,,,Jones and Estes (2006),7.34375,-4.35,-4.181818182,7.3125,sapienzanlp/Minerva-350M-base-v1.0,-4.375,-4.022727273,6.9375,sapienzanlp/Minerva-3B-base-v1.0,-0.168181818,-0.352272727,-4.425,-4.136363636,-0.288636364,,,-4.003125,-3.8806818181818175,6.57421875,-0.12244318181818237
192,lavori,prigioni,Many jobs are jails.,Molti lavori sono prigioni.,Molti lavori sono come prigioni.,,,5.48,4.88,High,,,,,,,,,,,,,Jones and Estes (2006),7.25,-7.25,-6.625,6.53125,sapienzanlp/Minerva-350M-base-v1.0,-7.1,-5.5,7.625,sapienzanlp/Minerva-3B-base-v1.0,-0.625,-1.6,-7.75,-6.458333333,-1.291666667,,,-7.00625,-5.822916666666667,7.078125,-1.1833333333333327
193,squadre,prigioni,Many teams are jails.,Molte squadre sono prigioni.,Molte squadre sono come prigioni.,,,5.48,1.93,Low,,,,,,,,,,,,,Jones and Estes (2006),6.9375,-6.9,-6.541666667,6.6875,sapienzanlp/Minerva-350M-base-v1.0,-8.2,-6.291666667,8.1875,sapienzanlp/Minerva-3B-base-v1.0,-0.358333333,-1.908333333,-8.05,-6.958333333,-1.091666667,,,-8.4,-6.348958333333333,6.46875,-2.0510416666666673
194,tempo,denaro,Time is money.,Il tempo è denaro.,Il tempo è come denaro.,,,5.52,5.88,High,,,,,,,,,,,,,Jones and Estes (2006),7.34375,-3.325,-5.0625,5.625,sapienzanlp/Minerva-350M-base-v1.0,-3.25,-4.166666667,7.3125,sapienzanlp/Minerva-3B-base-v1.0,1.7375,0.916666667,-3.725,-4.604166667,0.879166667,,,-3.1984375,-4.393229166666667,6.6015625,1.1947916666666671
195,conoscenza,denaro,Knowledge is money.,La conoscenza è denaro.,La conoscenza è come denaro.,,,5.52,5.0,Low,,,,,,,,,,,,,Jones and Estes (2006),7.3125,-5.5,-5.5,5.875,sapienzanlp/Minerva-350M-base-v1.0,-5.175,-5.166666667,7.25,sapienzanlp/Minerva-3B-base-v1.0,0.0,-0.008333333,-5.25,-5.416666667,0.166666667,,,-4.86875,-4.9609375,7.10546875,0.09218749999999964
196,pianeta Terra,palla,The planet Earth is a ball.,Il pianeta Terra è una palla.,Il pianeta Terra è come una palla.,,,5.55,4.61,High,,,,,,,,,,,,,Jones and Estes (2006),7.375,-4.142857143,-3.84375,6.84375,sapienzanlp/Minerva-350M-base-v1.0,-3.678571429,-3.859375,6.90625,sapienzanlp/Minerva-3B-base-v1.0,-0.299107143,0.180803571,-4.142857143,-4.0625,-0.080357143,,,-3.716517857142857,-3.62109375,7.51171875,-0.0954241071428572
197,stella,palla,The nearest star is a ball.,La stella più vicina è una palla.,La stella più vicina è come una palla.,,,5.55,2.45,Low,,,,,,,,,,,,,Jones and Estes (2006),6.65625,-4.40625,-4.388888889,6.375,sapienzanlp/Minerva-350M-base-v1.0,-4.78125,-4.472222222,7.375,sapienzanlp/Minerva-3B-base-v1.0,-0.017361111,-0.309027778,-4.375,-4.361111111,-0.013888889,,,-4.81640625,-4.65625,7.203125,-0.16015625
198,uccelli,aerei,Birds are airplanes.,Gli uccelli sono aerei.,Gli uccelli sono come aerei.,,,5.61,3.7,High,,,,,,,,,,,,,Jones and Estes (2006),6.5,-5.85,-5.416666667,6.1875,sapienzanlp/Minerva-350M-base-v1.0,-6.05,-5.375,6.5,sapienzanlp/Minerva-3B-base-v1.0,-0.433333333,-0.675,-6.2,-5.875,-0.325,,,-5.621875,-5.458333333333333,7.62109375,-0.16354166666666714
199,pipistrelli,aerei,Bats are airplanes.,I pipistrelli sono aerei.,I pipistrelli sono come aerei.,,,5.61,2.14,Low,,,,,,,,,,,,,Jones and Estes (2006),6.8125,-4.571428571,-4.46875,7.0,sapienzanlp/Minerva-350M-base-v1.0,-4.553571429,-4.5,6.46875,sapienzanlp/Minerva-3B-base-v1.0,-0.102678571,-0.053571429,-4.678571429,-4.875,0.196428571,,,-3.993303571428572,-4.22265625,7.17578125,0.22935267857142794
200,idee,diamanti,Ideas can be diamonds.,Le idee sono diamanti.,Le idee sono come diamanti.,,,5.73,5.62,High,,,,,,,,,,,,,Jones and Estes (2006),6.75,-4.75,-4.017857143,5.9375,sapienzanlp/Minerva-350M-base-v1.0,-4.583333333,-4.321428571,6.625,sapienzanlp/Minerva-3B-base-v1.0,-0.732142857,-0.261904762,-4.8125,-4.053571429,-0.758928571,,,-5.528125,-4.401041666666667,6.671875,-1.1270833333333332
201,recensioni,diamanti,Reviews can be diamonds.,Le recensioni sono diamanti.,Le recensioni sono come diamanti.,,,5.73,3.91,Low,,,,,,,,,,,,,Jones and Estes (2006),6.59375,-4.958333333,-4.607142857,6.0,sapienzanlp/Minerva-350M-base-v1.0,-4.916666667,-3.910714286,6.90625,sapienzanlp/Minerva-3B-base-v1.0,-0.351190476,-1.005952381,-5.041666667,-4.571428571,-0.470238095,,,-5.9125,-4.817708333333333,6.5,-1.0947916666666666
202,rabbia,vulcano,Anger is a volcano.,La rabbia è un vulcano.,La rabbia è come un vulcano.,,,5.73,5.62,High,,,,,,,,,,,,,Jones and Estes (2006),6.90625,-4.285714286,-3.796875,6.875,sapienzanlp/Minerva-350M-base-v1.0,-4.321428571,-3.421875,7.75,sapienzanlp/Minerva-3B-base-v1.0,-0.488839286,-0.899553571,-3.589285714,-3.328125,-0.261160714,,,-4.427083333333333,-3.8861607142857135,7.51953125,-0.5409226190476195
203,tristezza,vulcano,Sadness is a volcano.,La tristezza è un vulcano.,La tristezza è come un vulcano.,,,5.73,3.76,Low,,,,,,,,,,,,,Jones and Estes (2006),7.03125,-4.34375,-3.722222222,6.625,sapienzanlp/Minerva-350M-base-v1.0,-4.0625,-3.236111111,7.5625,sapienzanlp/Minerva-3B-base-v1.0,-0.621527778,-0.826388889,-3.46875,-3.138888889,-0.329861111,,,-5.283854166666667,-4.598214285714286,7.38671875,-0.6856398809523814
204,senatore,fossile,The senator is a fossil.,Il senatore è un fossile.,Il senatore è come un fossile.,,,5.76,4.52,High,,,,,,,,,,,,,Jones and Estes (2006),7.46875,-5.0,-4.65625,6.625,sapienzanlp/Minerva-350M-base-v1.0,-4.928571429,-4.65625,7.34375,sapienzanlp/Minerva-3B-base-v1.0,-0.34375,-0.272321429,-4.857142857,-4.8125,-0.044642857,,,-4.977678571428571,-4.85546875,9.1953125,-0.12220982142857117
205,campione di atletica,fossile,The track star is a fossil.,Il campione di atletica è un fossile.,Il campione di atletica è come un fossile.,,,5.76,2.24,Low,,,,,,,,,,,,,Jones and Estes (2006),7.375,-4.125,-3.840909091,6.6875,sapienzanlp/Minerva-350M-base-v1.0,-4.25,-3.954545455,7.5625,sapienzanlp/Minerva-3B-base-v1.0,-0.284090909,-0.295454545,-3.975,-3.954545455,-0.020454545,,,-4.11875,-3.8181818181818175,9.4453125,-0.3005681818181829
206,braccia del ragazzo,acciaio,My boyfriend's arms are steel.,Le braccia del mio ragazzo sono acciaio.,Le braccia del mio ragazzo sono come acciaio.,,,5.76,5.36,High,,,,,,,,,,,,,Jones and Estes (2006),5.75,-5.34375,-4.833333333,6.6875,sapienzanlp/Minerva-350M-base-v1.0,-5.0625,-4.305555556,6.59375,sapienzanlp/Minerva-3B-base-v1.0,-0.510416667,-0.756944444,-5.46875,-4.75,-0.71875,,,-5.78125,-4.996527777777778,7.609375,-0.7847222222222223
207,gambe del nonno,acciaio,My grandfather's legs are steel.,Le gambe di mio nonno sono acciaio.,Le gambe di mio nonno sono come acciaio.,,,5.76,3.45,Low,,,,,,,,,,,,,Jones and Estes (2006),6.59375,-5.3125,-4.805555556,6.8125,sapienzanlp/Minerva-350M-base-v1.0,-5.28125,-4.666666667,7.0,sapienzanlp/Minerva-3B-base-v1.0,-0.506944444,-0.614583333,-5.21875,-4.75,-0.46875,,,-4.98046875,-4.496527777777778,7.54296875,-0.4839409722222223
